Organization,Address,City,StateTerritory,Postal Code,Country
Bucknell University,219 Bertrand Library,Lewisburg,PA,17837,USA
California Polytechnic State University,One Grand Avenue,San Luis Obispo,CA,93407,USA
Carthage College,2001 Alford Park Drive,Kenosha,WI,53140-1994,USA
Colgate University,13 Oak Drive,Hamilton,NY,13346-1386,USA
College of the Holy Cross,1 College Street,Worcester,MA,01610,USA
Connecticut College,270 Mohegan Avenue,New London,CT,06320-4196,USA
Earlham College,Lilly Libary,Richmond,IN,47374-4095,USA
Furman University,3300 Poinsett Highway,Greenville,SC,29613,USA
Grinnell College,1111 Sixth Avenue,Grinnell,IA,50112-1690,USA
Haverford College,370 Lancaster Avenue,Haverford,PA,19041-1336,USA
Lake Forest College,555 North Sheridan Road,Lake Forest,IL,60045-2399,USA
Luther College,700 College Drive,Decorah,IA,52101,USA
Middlebury College,110 Storrs Avenue,Middlebury,VT,05753,USA
Pacific Lutheran University,1010 122nd Street S.,Tacoma,WA,98447,USA
Reed College,3203 SE Woodstock Boulevard,Portland,OR,97202-8199,USA
"Sewanee, The University of the South",735 University Avenue,Sewanee,TN,37383-1000,USA
Smith College,Neilson Library,Northampton,MA,01063-0001,USA
St. Olaf College,1510 St. Olaf Avenue,Northfield,MN,55057,USA
State University of New York at Brockport,350 New Campus Drive,Brockport,NY,14420-2995,USA
The Claremont Colleges,800 North Dartmouth,Claremont,CA,91711-3991,USA
Union College,807 Union Street,Schenectady,NY,12308,USA
University of Puget Sound,Collins Memorial Library,Tacoma,WA,98416-1021,USA
University of St. Thomas,2115 Summit Avenue,St. Paul,MN,55105-1096,USA
Vassar College,Box 20,Poughkeepsie,NY,12604-0020,USA
Washington and Lee University,204 West Washington Street,Lexington,VA,24450-0303,USA
Wesleyan University,252 Church Street,Middletown,CT,6459,USA
State University of New York at Stony Brook,,Stony Brook,NY,11790,USA
Amherst College,P.O. Box 2256,Amherst,MA,01002,USA
Bates College,48 Campus Avenue,Lewiston,ME,04240,USA
Bowdoin College,3000 College Station,Brunswick,ME,04011,USA
California Lutheran University,MC5100,Thousand Oaks,CA,91360,USA
Carleton College,One North College Street,Northfield,MN,55057-4044,USA
Colby College,5104 Mayflower Hill,Waterville,ME,04901-8851,USA
College of Charleston,66 George Street,Charleston,SC,29424-0001,USA
Denison University,Mudd Learning Center,Granville,OH,43023,USA
Dickinson College,PO Box 1773,Carlisle,PA,17013,USA
Franklin & Marshall College,PO Box 3003,Lancaster,PA,17604-3003,USA
Goucher College,1021 Dulaney Valley Road,Baltimore,MD,21204,USA
Hamilton College,198 College Hill Road,Clinton,NY,13323,USA
Kenyon College,103 College Drive,Gambier,OH,43022,USA
Linfield College,900 SE Baker Street,McMinnville,OR,97128-6894,USA
Occidental College,1600 Campus Rd.,Los Angeles,CA,90041,USA
Purdue University Calumet,2200 169th Street,Hammond,IN,46323-2094,USA
Saint Lawrence University,23 Romoda Drive,Canton,NY,13617,USA
Skidmore College,815 N. Broadway,Saratoga Springs,NY,12866,USA
Southwestern University,1001 East University Avenue,Georgetown,TX,78626,USA
Swarthmore College,500 College Avenue,Swarthmore,PA,19081,USA
Trinity University,One Trinity Place,San Antonio,TX,78212-7200,USA
University of North Carolina at Charlotte,9201 University City Blvd.,Charlotte,NC,28223,USA
Ursinus College,Ursinus College,Collegeville,PA,19426-1000,USA
Wellesley College,106 Central Street,Wellesley,MA,02481,USA
Mount Holyoke College,50 College St,South Hadley,MA,01075,USA
Guilford College,5800 W Friendly Ave,Greensboro,NC,27410,USA
Whitman College,345 Boyer Avenue,Walla Walla,WA,99362,USA
Williams College,55 Sawyer Library Drive,Williamstown,MA,01267,USA
Bryn Mawr College,101 North Merion Avenue,Bryn Mawr,PA,19010-2899,USA
Lafayette College,710 Sullivan Street,Easton,PA,18042-1797,USA
Rhodes College,2000 North Parkway,Memphis,TN,38112,USA
Alexander Street Press,3212 Duke Street,Alexandria,VA,22314,USA
Brill,Plantynstraat 2,2321 JC Leiden,,,Netherlands
Clark Art Institute,225 South Street,Williamstown,MA,01267,USA
Preservation Technologies,111 Thomson Park Drive,Cranberry Township,PA,16066,USA
Coalition for Networked Information,"21 Dupont Circle, NW",Washington,DC,20036,USA
Carnegie Mellon University,5000 Forbes Ave,Pittsburgh,PA,15213,USA
Tulane University,7001 Freret Street,New Orleans,LA,70118-5682,USA
University of Alabama,Box 870266,Tuscaloosa,AL,35487-0266,USA
University of Arkansas,365 N McIlroy Avenue,Fayatteville,AR,72701-4002,USA
"University of California, Santa Barbara",UCSB Davidson Library 9010,Santa Barbara,CA,93106-9010,USA
University of Florida,George A. Smathers Libraries,Gainesville,FL,32611-7000,USA
University of Illinois at Urbana-Champaign,1408 West Gregory Drive,Urbana,IL,61801,USA
University of Kansas,502 Watson Library,Lawrence,KS,66045-7544,USA
University of Missouri,1020 Lowery Street,Columbia,MO,65201-5149,USA
University of Oregon,1299 University of Oregon,Eugene,OR,97403,USA
University of Pittsburgh,271 Hillman Library,Pittsburgh,PA,15260-7302,USA
University of Rochester,200 Wallis Hall,Rochester,NY,14627,USA
University of South Florida,4202 East Fowler Avenue,Tampa,FL,33620-5400,USA
University of Toronto,130 St. George Street,Toronto,ON,M5S 1A5,Canada
University of Wisconsin-Madison,728 State Street,Madison,WI,53706,USA
Vanderbilt University,4l9 2lst Avenue South,Nashville,TN,37203-2427,USA
Washington University,One Brookings Drive,St. Louis,MO,63130,USA
California Digital Library,415 20th Strret,Oakland,CA,94612-2901,USA
Cornell University,201 Olin Library,Ithaca,NY,14853,USA
Emory University,540 Asbury Circle,Atlanta,GA,30322-2870,USA
Indiana University,1320 East 10th Street,Bloomington,IN,47405,USA
Massachusetts Institute of Technology,77 Massachusetts Avenue,Cambridge,MA,02139-4307,USA
New York Public Library,11 West 40th Street,New York,NY,10018-2788,USA
North Carolina State University,Box 7111,Raleigh,NC,27695-7111,USA
University of Houston,114 University Libraries,Houston,TX,77204-2000,USA
University of Kentucky,500 S.  Limestone St.,Lexington,KY,40506-0456,USA
University of Miami,1300 Memorial Drive,Coral Gables,FL,33146,USA
University of Minnesota,499 Wilson Library,Minneapolis,MN,55455,USA
University of Notre Dame,221 Hesburgh Library,Notre Dame,IN,46556,USA
University of Southern California,3550  Trousdale Pkwy,Los Angeles,CA,90089-0182,USA
University of Texas at Austin,1 University Station,Austin,TX,78712,USA
University of Washington,Box 352900,Seattle,WA,98195-2900,USA
Yale University,120 High Street,New Haven,CT,06520-8240,USA
Allegheny College,520 North Main Street,Meadville,PA,16335,USA
Library of Congress,"101 Independence Ave.,SE",Washington,DC,20540-4000,USA
McMaster University,1280 Main Street W.,Hamilton,ON,L8S 4L6,Canada
Middle Tennessee State University,James E. Walker Library,Murfreesboro,TN,37132,USA
Northeastern University,320 Snell Library,Boston,MA,02115-5005,USA
Oregon State University,121 The Valley Library,Corvallis,OR,97331-4501,USA
Syracuse University,222 Waverly Avenue,Syracuse,NY,13244-2010,USA
Texas Tech University,18th and Boston,Lubbock,TX,79409-0002,USA
American University,4400 Massachusetts Avenue,Washington,D.C.,20016-8046,USA
Arizona State University,Hayden Library,Tempe,AZ,85287-1006,USA
Auburn University,RBD Library,Auburn,AL,36849-5606,USA
Baylor University,"One Bear Place, #97143",Waco,TX,76798-7143,USA
Binghamton University,P.O. Box 6012,Binghamton,NY,13902-6012,USA
Boston College,140 Commonwealth Avenue,Chestnut Hill,MA,02167,USA
Brigham Young University,3080 Harold B. Lee Library,Provo,UT,84602-6800,USA
Brown University,Brown University Library,Providence,RI,2912,USA
California Institute of Technology,1200 E. California Blvd.,Pasadena,CA,91125-3200,USA
Duke University,112 Perkins Library,Durham,NC,027708,USA
Folger Shakespeare Library,"201 East Capitol Street, SE",Washington,DC,20003,USA
Georgetown University,"37th and O Streets, NW",Washington,DC,20057-1174,USA
Georgia Institute of Technology,704 Cherry Street,Atlanta,GA,30332-0001,USA
Iowa State University,302 Parks Library,Ames,IA,50011-2140,USA
Lehigh University,8A East Packer Avenue,Bethlehem,PA,18015-3170,USA
Marquette University,P.O. Box 3141,Milwaukee,WI,53201-3141,USA
Miami University,225 King Library,Oxford,OH,45056,USA
Mississippi State University,PO Box 5408,Mississippi State,MS,39762-5408,USA
Northwestern University,1970 Campus Drive,Evanston,IL,60208-2300,USA
Pepperdine University,24255 Pacific Coast Highway,Malibu,CA,90263,USA
"Rutgers, The State University of New Jersey","169 College Avenue,CAC",New Brunswick,NJ,08901-1163,USA
Southern Methodist University,P.O. Box 750135,Dallas,TX,75275-0135,USA
Temple University,1210 Polett Walk,Philadelphia,PA,19122,USA
The Catholic University of America,"620 Michigan Avenue, NE",Washintgon,D.C.,20064,USA
The Ohio State University,1858 Neil Avenue Mall,Columbus,OH,43210,USA
Tufts University,16 Dearborn Rd.,Somerville,MA,02144,USA
Universite Laval,Bibliotheque,Quebec,QC,G1V 0A6,Canada
University of Alberta,University of Alberta Libraries,Edmonton,AB,T6G 2J8,Canada
"University of California, Irvine",P.O. Box 19557,Irvine,CA,92623-9557,USA
University of Cincinnati,640 Langsam Library,Cincinnati,OH,45221-0033,USA
University of Colorado at Boulder,Norlin Library N210C,Boulder,CO,80309-0184,USA
University of Denver,2150 East Evans Avenue,Denver,CO,80208-0287,USA
University of Georgia,South Jackson Street,Athens,GA,30602,USA
University of Guelph,50 Stone Road East,Guelph,ON,N1G 2W1,Canada
"University of Illinois, Chicago",801 S. Morgan MC 234,Chicago,IL,60607,USA
"University of Massachusetts, Amherst",154 Hicks Way,Amherst,MA,01003-9275,USA
University of Nebraska-Lincoln,P.O. Box  884100,Lincoln,NE,68588-4100,USA
University of Oklahoma,401 W. Brooks,Norman,OK,73019,USA
University of Ottawa,"Library, 65 University Private",Ottawa,ON,K1N 6N5,Canada
University of Richmond,G-12 Jepson Hall,Richmond,VA,23173,USA
University of San Francisco,2130 Fulton Street,San Francisco,CA,94117,USA
University of South Carolina,Thomas Cooper Library,Columbia,SC,29208,USA
University of Texas at Arlington,Box 19497,Arlington,TX,76019-0497,USA
University of Victoria,PO Box 1800 STN CSC,Victoria,B.C.,V8W 3H5,Canada
University of Wyoming,1000 E. University Avenue,Laramie,WY,82071-3334,USA
Villanova University,800 Lancaster Avenue,Villanova,PA,19085,USA
West Virginia University,P.O. Box 6069,Morgantown,WV,26506,USA
Columbia University Libraries,535 West 114th Street,New York,NY,10027,USA
Dartmouth College,Hinman Box 6025,Hanover,NH,03755-3525,USA
Harvard University,1341 Massachusetts Avenue,Cambridge,MA,02138,USA
Johns Hopkins University,The Sheridan Libraries,Baltimore,MD,21218-2683,USA
Montana State University,PO Box 173320,Bozeman,MT,59717-3220,USA
National Library of Medicine,8600 Rockville Pike,Bethesda,MD,20894,USA
New York University,70 Washington Square South,New York,NY,10012,USA
Pennsylvania State University,510 Paterno Library,University Park,PA,16802,USA
