Site Name,University,Full Name,Award Year,Dissertation Title,City,State,Country
Biblioteca Nazionale of Florence,"Rutgers, the State University of New Jersey",Meghan Callahan,2004,The Politics of Architecture: Suor Domenica da Paradiso and Her Convent of La Crocetta in Post-Savonarolan Florence,Florence,,Italy
Convent of La Crocetta archives,"Rutgers, the State University of New Jersey",Meghan Callahan,2004,The Politics of Architecture: Suor Domenica da Paradiso and Her Convent of La Crocetta in Post-Savonarolan Florence,Florence,,Italy
"Lea Collection, University of Pennsylvania","Rutgers, the State University of New Jersey",Meghan Callahan,2004,The Politics of Architecture: Suor Domenica da Paradiso and Her Convent of La Crocetta in Post-Savonarolan Florence,Philadelphia,PA,USA
Ospedale degli Innocenti,"Rutgers, the State University of New Jersey",Meghan Callahan,2004,The Politics of Architecture: Suor Domenica da Paradiso and Her Convent of La Crocetta in Post-Savonarolan Florence,Florence,,Italy
Biblioteca Zikawei,"University of California, Berkeley",Michelle King,2004,"Infanticide as an Object of Knowledge in China, Late 19thÏEarly 20th Century",Shanghai,,China
British Library,"University of California, Berkeley",Michelle King,2004,"Infanticide as an Object of Knowledge in China, Late 19thÏEarly 20th Century",London,,United Kingdom
National Library of China,"University of California, Berkeley",Michelle King,2004,"Infanticide as an Object of Knowledge in China, Late 19th-Early 20th Century",Beijing,,China
Peking University Library,"University of California, Berkeley",Michelle King,2004,"Infanticide as an Object of Knowledge in China, Late 19thÏEarly 20th Century",Beijing,,China
"Center for Creative Photography, University of Arizona",University of Chicago,Sarah Miller,2004,"Inventing 'Documentary' in American Photography, 1930-1945",Tucson,AZ,USA
Library of Congress,University of Chicago,Sarah Miller,2004,"Inventing 'Documentary' in American Photography, 1930-1945",Washington,DC,USA
Archives Departmentales du Nord,University of Texas at Austin,Anna Taylor,2004,"Carolingian Verse Saints' Lives: Education, Patronage and Monastic Memory",Lille,,France
Bibliothèque Municipale de Boulogne-sur-mer,University of Texas at Austin,Anna Taylor,2004,"Carolingian Verse Saints' Lives: Education, Patronage and Monastic Memory",Boulogne-sur-mer,,France
Bibliotheque Nationale de France,University of Texas at Austin,Anna Taylor,2004,"Carolingian Verse Saints' Lives: Education, Patronage and Monastic Memory",Paris,,France
"Bodleian Library, Oxford University",University of Texas at Austin,Anna Taylor,2004,"Carolingian Verse Saints' Lives: Education, Patronage and Monastic Memory",Oxford,,United Kingdom
Institut de recherche et d'histoire des textes (IRHT),University of Texas at Austin,Anna Taylor,2004,"Carolingian Verse Saints' Lives: Education, Patronage and Monastic Memory",Paris,,France
Building Archives of the City of Athens,Columbia University,Ioanna Theocharopoulou,2004,Modern Architecture and Modern Life: Informal Urbanization in Postwar Athens (1949-1974),Athens,,Greece
C.A. Doxiadis Archives,Columbia University,Ioanna Theocharopoulou,2004,Modern Architecture and Modern Life: Informal Urbanization in Postwar Athens (1949-1974),Athens,,Greece
Geographical Services of the Greek Army,Columbia University,Ioanna Theocharopoulou,2004,Modern Architecture and Modern Life: Informal Urbanization in Postwar Athens (1949-1974),Athens,,Greece
"Ministry of Public Works, Athens",Columbia University,Ioanna Theocharopoulou,2004,Modern Architecture and Modern Life: Informal Urbanization in Postwar Athens (1949-1974),Athens,,Greece
National Film Archives of Greece,Columbia University,Ioanna Theocharopoulou,2004,Modern Architecture and Modern Life: Informal Urbanization in Postwar Athens (1949-1974),Athens,,Greece
National Library of Greece,Columbia University,Ioanna Theocharopoulou,2004,Modern Architecture and Modern Life: Informal Urbanization in Postwar Athens (1949-1974),Athens,,Greece
National Literary and Historical Archive [ELIA],Columbia University,Ioanna Theocharopoulou,2004,Modern Architecture and Modern Life: Informal Urbanization in Postwar Athens (1949-1974),Athens,,Greece
National School of Architecture Library,Columbia University,Ioanna Theocharopoulou,2004,Modern Architecture and Modern Life: Informal Urbanization in Postwar Athens (1949-1974),Athens,,Greece
Technical Chamber of Engineers Library,Columbia University,Ioanna Theocharopoulou,2004,Modern Architecture and Modern Life: Informal Urbanization in Postwar Athens (1949-1974),Athens,,Greece
"Glinka Museum, Moscow",University of North Carolina at Chapel Hill,Kevin Bartig,2005,Composing for the Red Screen: Sergei Prokofiev's Film Scores,Moscow,,Russia
State Archive of Literature and Art (RGALI),University of North Carolina at Chapel Hill,Kevin Bartig,2005,Composing for the Red Screen: Sergei Prokofiev's Film Scores,Moscow,,Russia
"British National Archives, Public Record Office",Columbia University,Ellen Boucher,2005,"An Imperial Investment: British Child Emigration to Australia and Southern Rhodesia, 1900-1967",London,,United Kingdom
Cambridge University Library,Columbia University,Ellen Boucher,2005,"An Imperial Investment: British Child Emigration to Australia and Southern Rhodesia, 1900-1967",Cambridge,,United Kingdom
Parliamentary Archives of the United Kingdom,Columbia University,Ellen Boucher,2005,"An Imperial Investment: British Child Emigration to Australia and Southern Rhodesia, 1900-1967",London,,United Kingdom
"Rhodes House Library, University of Oxford",Columbia University,Ellen Boucher,2005,"An Imperial Investment: British Child Emigration to Australia and Southern Rhodesia, 1900-1967",Oxford,,United Kingdom
State Library of New South Wales,Columbia University,Ellen Boucher,2005,"An Imperial Investment: British Child Emigration to Australia and Southern Rhodesia, 1900-1967",Sydney,,Australia
University of Liverpool Special Collections and Archives,Columbia University,Ellen Boucher,2005,"An Imperial Investment: British Child Emigration to Australia and Southern Rhodesia, 1900-1967",Liverpool,,United Kingdom
"Archivo General de Simancas, Valladolid",Georgetown University,Vanesa Casanova-Fernandez,2005,"Of Moors and Men: The Construction of Masculinities on the Spanish-Moroccan Frontier, Ceuta 1640-1799",Valladolid,,Spain
"Archivo  Histórico Nacional, Madrid",Georgetown University,Vanesa Casanova-Fernandez,2005,"Of Moors and Men: The Construction of Masculinities on the Spanish-Moroccan Frontier, Ceuta 1640-1799",Madrid,,Spain
"Biblioteca Nacional, Madrid",Georgetown University,Vanesa Casanova-Fernandez,2005,"Of Moors and Men: The Construction of Masculinities on the Spanish-Moroccan Frontier, Ceuta 1640-1799",Madrid,,Spain
Ceuta local archives,Georgetown University,Vanesa Casanova-Fernandez,2005,"Of Moors and Men: The Construction of Masculinities on the Spanish-Moroccan Frontier, Ceuta 1640-1799",Ceuta,,Spain
Library of Congress,Georgetown University,Vanesa Casanova-Fernandez,2005,"Of Moors and Men: The Construction of Masculinities on the Spanish-Moroccan Frontier, Ceuta 1640-1799",Washington,DC,USA
Kunstbibliothek zu Berlin,Massachusetts Institute of Technology,Zeynep Celik bei Opitz,2005,"Kinaesthetic Impulses: Space, Performance, and the Body in German Architecture, 1870-1918",Berlin,,Germany
Staatsbibliothek zu Berlin,Massachusetts Institute of Technology,Zeynep Celik bei Opitz,2005,"Kinaesthetic Impulses: Space, Performance, and the Body in German Architecture, 1870-1918",Berlin,,Germany
Technische Universität Plansammlung,Massachusetts Institute of Technology,Zeynep Celik bei Opitz,2005,"Kinaesthetic Impulses: Space, Performance, and the Body in German Architecture, 1870-1918",Berlin,,Germany
"Vergina tomb site, Greece",Harvard University,Hallie Franks,2005,Imaging Power: Royal Ideology for the Rise of Macedon,Vergina,,Greece
Dar al-Kutub (National Library of Egypt),Harvard University,Sinan Antoon,2002,The Poetics of the Obscene: Ibn al-Hajj?j and Sukhf,Cairo,,Egypt
Exotic World museum,Brown University,Brenda Foley,2002,Image as Identity: Beauty Contestants and Exotic Dancers as 'Merchants of Morality',Helendale,CA,USA
Harry Ransom Center,Brown University,Brenda Foley,2002,Image as Identity: Beauty Contestants and Exotic Dancers as 'Merchants of Morality',Austin,,USA
Harvard Theatre Collection,Brown University,Brenda Foley,2002,Image as Identity: Beauty Contestants and Exotic Dancers as 'Merchants of Morality',Cambridge,MA,USA
Lincoln Centre Performing Arts Library,Brown University,Brenda Foley,2002,Image as Identity: Beauty Contestants and Exotic Dancers as 'Merchants of Morality',New York,NY,USA
Bibliotheque Nationale de France,University of Pennsylvania,Christiane Gruber,2002,Heavenly Journeys and the Imaginary: Depictions of Muhammad's Mi'r?j in Medieval Islamic Manuscripts (14th-17th centuries),Paris,,France
British Library,University of Pennsylvania,Christiane Gruber,2002,Heavenly Journeys and the Imaginary: Depictions of Muhammad's Mi'r?j in Medieval Islamic Manuscripts (14th-17th centuries),London,,United Kingdom
British Museum,University of Pennsylvania,Christiane Gruber,2002,Heavenly Journeys and the Imaginary: Depictions of Muhammad's Mi'r?j in Medieval Islamic Manuscripts (14th-17th centuries),London,,United Kingdom
Cleveland Museum of Art,University of Pennsylvania,Christiane Gruber,2002,Heavenly Journeys and the Imaginary: Depictions of Muhammad's Mi'r?j in Medieval Islamic Manuscripts (14th-17th centuries),Cleveland,OH,USA
Dar al-Kutub (National Library of Egypt),University of Pennsylvania,Christiane Gruber,2002,Heavenly Journeys and the Imaginary: Depictions of Muhammad's Mi'r?j in Medieval Islamic Manuscripts (14th-17th centuries),Cairo,,Egypt
Free Library of Philadelphia,University of Pennsylvania,Christiane Gruber,2002,Heavenly Journeys and the Imaginary: Depictions of Muhammad's Mi'r?j in Medieval Islamic Manuscripts (14th-17th centuries),Philadelphia,PA,USA
Kahlili Collection,University of Pennsylvania,Christiane Gruber,2002,Heavenly Journeys and the Imaginary: Depictions of Muhammad's Mi'r?j in Medieval Islamic Manuscripts (14th-17th centuries),London,,United Kingdom
Keir Collection,University of Pennsylvania,Christiane Gruber,2002,Heavenly Journeys and the Imaginary: Depictions of Muhammad's Mi'r?j in Medieval Islamic Manuscripts (14th-17th centuries),London,,United Kingdom
Louvre Museum,University of Pennsylvania,Christiane Gruber,2002,Heavenly Journeys and the Imaginary: Depictions of Muhammad's Mi'r?j in Medieval Islamic Manuscripts (14th-17th centuries),Paris,,France
Museum of Islamic Art,University of Pennsylvania,Christiane Gruber,2002,Heavenly Journeys and the Imaginary: Depictions of Muhammad's Mi'r?j in Medieval Islamic Manuscripts (14th-17th centuries),Cairo,,Egypt
Bibliotheque Nationale de France,CUNY Graduate Center,Angela Herren,2002,Portraying the Aztec Past: 16th-C. Pictorial Accounts of Origin,Paris,,France
"Instituto de Investigaciónes Historicas, UNAM",CUNY Graduate Center,Angela Herren,2002,Portraying the Aztec Past: 16th-C. Pictorial Accounts of Origin,Mexico City,,Mexico
Museo Nacional de Antropología e Historia,CUNY Graduate Center,Angela Herren,2002,Portraying the Aztec Past: 16th-C. Pictorial Accounts of Origin,Mexico City,,Mexico
Changting County Documents Bureau,Columbia University,Drew Hopkins,2002,"Social History of Paper Production and Commerce in Western Fujian, China",Changting County,,China
Chen Zixiu Collection,Columbia University,Drew Hopkins,2002,"Social History of Paper Production and Commerce in Western Fujian, China",Zhiping,,China
Boston Public Library,"University of North Carolina, Chapel Hill",Susan Pearson,2002,"'The Rights of the Defenseless': Animals, Children, and the Rhetoric of Rights in American Reform, 1865-1930",Boston,MA,USA
Library Company of Philadelphia,"University of North Carolina, Chapel Hill",Susan Pearson,2002,"'The Rights of the Defenseless': Animals, Children, and the Rhetoric of Rights in American Reform, 1865-1930",Philadelphia,PA,USA
New York Public Library,"University of North Carolina, Chapel Hill",Susan Pearson,2002,"'The Rights of the Defenseless': Animals, Children, and the Rhetoric of Rights in American Reform, 1865-1930",New York,NY,USA
Women's Christian Temperance Society library,"University of North Carolina, Chapel Hill",Susan Pearson,2002,"'The Rights of the Defenseless': Animals, Children, and the Rhetoric of Rights in American Reform, 1865-1930",Evanston,IL,USA
Hessisches Staatsarchiv Marburg,Harvard University,Alisha Rankin,2002,Women's Domestic Medicine in Sixteenth-Century Germany: The Case of Elisabeth von Rochlitz,Marburg,,Germany
Sächsisches Hauptstaatsarchiv Dresden,Harvard University,Alisha Rankin,2002,Women's Domestic Medicine in Sixteenth-Century Germany: The Case of Elisabeth von Rochlitz,Dresden,,Germany
"Staats- und Universitätsbibliothek (SLUB), Dresden",Harvard University,Alisha Rankin,2002,Women's Domestic Medicine in Sixteenth-Century Germany: The Case of Elisabeth von Rochlitz,Dresden,,Germany
Universitätsbibliothek Heidelberg (Heidelberg University Library),Harvard University,Alisha Rankin,2002,Women's Domestic Medicine in Sixteenth-Century Germany: The Case of Elisabeth von Rochlitz,Heidelberg,,Germany
Ad Libitum collection,New York University,Maria Rose,2002,L'Art de Bien Chanter and the Early French Piano Style: 1780-1820,Besancon,,France
"Bibliothèque Nationale de France, Mitterand location",New York University,Maria Rose,2002,L'Art de Bien Chanter and the Early French Piano Style: 1780-1820,Paris,,France
"Bibliothèque Nationale de France, Music Library",New York University,Maria Rose,2002,L'Art de Bien Chanter and the Early French Piano Style: 1780-1820,Paris,,France
"Bibliothèque Nationale de France, Rue Richelieu location",New York University,Maria Rose,2002,L'Art de Bien Chanter and the Early French Piano Style: 1780-1820,Paris,,France
British Library,New York University,Maria Rose,2002,L'Art de Bien Chanter and the Early French Piano Style: 1780-1820,London,,United Kingdom
Centre d'accueil et de recherche des Archives Nationales (CARAN),New York University,Maria Rose,2002,L'Art de Bien Chanter and the Early French Piano Style: 1780-1820,Paris,,France
Centre de Musique de Baroque,New York University,Maria Rose,2002,L'Art de Bien Chanter and the Early French Piano Style: 1780-1820,Versailles,,France
Finchcocks Musical Museum,New York University,Maria Rose,2002,L'Art de Bien Chanter and the Early French Piano Style: 1780-1820,Goudhurst,Kent,United Kingdom
Institut de France,New York University,Maria Rose,2002,L'Art de Bien Chanter and the Early French Piano Style: 1780-1820,Paris,,France
Instrumentenmuseum,New York University,Maria Rose,2002,L'Art de Bien Chanter and the Early French Piano Style: 1780-1820,Brussels,,Belgium
Koninklijke Bibliotheek,New York University,Maria Rose,2002,L'Art de Bien Chanter and the Early French Piano Style: 1780-1820,Brussels,,Belgium
Musée de la Musique,New York University,Maria Rose,2002,L'Art de Bien Chanter and the Early French Piano Style: 1780-1820,Paris,,France
New York Public Library,New York University,Maria Rose,2002,L'Art de Bien Chanter and the Early French Piano Style: 1780-1820,New York,NY,USA
Cini Foundation Libraries,University of Michigan,Natalie Rothman,2002,Occidentalizing Venice: 'Cultural heritage' and the production of History at the Venice and the Orient Institute,Venice,,Italy
Correr Museum Library,University of Michigan,Natalie Rothman,2002,Occidentalizing Venice: 'Cultural heritage' and the production of History at the Venice and the Orient Institute,Venice,,Italy
Marciana Library,University of Michigan,Natalie Rothman,2002,Occidentalizing Venice: 'Cultural heritage' and the production of History at the Venice and the Orient Institute,Venice,,Italy
Venetian State Archive,University of Michigan,Natalie Rothman,2002,Occidentalizing Venice: 'Cultural heritage' and the production of History at the Venice and the Orient Institute,Venice,,Italy
National Archives of Jamaica,University of Texas at Austin,Paula Saunders,2002,"Free and Enslaved African Communities in Colonial Jamaica, 1780-1834",Spanish Town,,Jamaica
National Library of Jamaica,University of Texas at Austin,Paula Saunders,2002,"Free and Enslaved African Communities in Colonial Jamaica, 1780-1834",Kingston,,Jamaica
West India Reference Library,University of Texas at Austin,Paula Saunders,2002,"Free and Enslaved African Communities in Colonial Jamaica, 1780-1834",Kingston,,Jamaica
"British National Archives, Public Record Office",Columbia University,Sarah Abramowicz,2003,English Child Custody Law and the Victorian Novel,London,,United Kingdom
"Party Archive, Syktyvkar",University of Chicago,Alan Barenberg,2003,"From Prisoners to Miners: A Social History of Vorkuta, 1943-1964",Syktyvkar,,Russia
Vorkuta Justice Ministry Archive,University of Chicago,Alan Barenberg,2003,"From Prisoners to Miners: A Social History of Vorkuta, 1943-1964",Vorkuta,,Russia
Vorkuta Municipal Archive,University of Chicago,Alan Barenberg,2003,"From Prisoners to Miners: A Social History of Vorkuta, 1943-1964",Vorkuta,,Russia
Vorkuta Museum,University of Chicago,Alan Barenberg,2003,"From Prisoners to Miners: A Social History of Vorkuta, 1943-1964",Vorkuta,,Russia
Bradford County Historical Society,Cornell University,Kathryn Clippinger,2003,"Comparative Family Ethnicity on the New York Borderlands, 1680-1800",Towanda,PA,USA
Montgomery County Department of History and Archives,Cornell University,Kathryn Clippinger,2003,"Comparative Family Ethnicity on the New York Borderlands, 1680-1800",Fonda,NY,USA
Niagara-on-the-Lake Historical Society,Cornell University,Kathryn Clippinger,2003,"Comparative Family Ethnicity on the New York Borderlands, 1680-1800",Niagara-on-the-Lake,,Canada
American Jewish Historical Society,Yale University Graduate School of Arts and Scienc,Rebecca Davis,2003,"For Better or for Worse: Marriage Counseling, Gender, and Sexual Politics in the United States, 1945-1980",New York,NY,USA
Archives of the United Church of Christ,Yale University Graduate School of Arts and Scienc,Rebecca Davis,2003,"For Better or for Worse: Marriage Counseling, Gender, and Sexual Politics in the United States, 1945-1980",Cleveland,OH,USA
"Countway Library of Medicine, Harvard School of Medicine",Yale University Graduate School of Arts and Scienc,Rebecca Davis,2003,"For Better or for Worse: Marriage Counseling, Gender, and Sexual Politics in the United States, 1945-1980",Boston,MA,USA
First Community Church,Yale University Graduate School of Arts and Scienc,Rebecca Davis,2003,"For Better or for Worse: Marriage Counseling, Gender, and Sexual Politics in the United States, 1945-1980",Columbus,OH,USA
General Theological Seminary Archives,Yale University Graduate School of Arts and Scienc,Rebecca Davis,2003,"For Better or for Worse: Marriage Counseling, Gender, and Sexual Politics in the United States, 1945-1980",New York,NY,USA
Indiana Historical Society,Yale University Graduate School of Arts and Scienc,Rebecca Davis,2003,"For Better or for Worse: Marriage Counseling, Gender, and Sexual Politics in the United States, 1945-1980",Indianapolis,IN,USA
"Langsdale Library, University of Baltimore",Yale University Graduate School of Arts and Scienc,Rebecca Davis,2003,"For Better or for Worse: Marriage Counseling, Gender, and Sexual Politics in the United States, 1945-1980",Baltimore,MD,USA
Marabel Morgan collection,Yale University Graduate School of Arts and Scienc,Rebecca Davis,2003,"For Better or for Worse: Marriage Counseling, Gender, and Sexual Politics in the United States, 1945-1980",Miami,FL,USA
Ohio State University Archives,Yale University Graduate School of Arts and Scienc,Rebecca Davis,2003,"For Better or for Worse: Marriage Counseling, Gender, and Sexual Politics in the United States, 1945-1980",Columbus,OH,USA
Presbyterian Historical Society,Yale University Graduate School of Arts and Scienc,Rebecca Davis,2003,"For Better or for Worse: Marriage Counseling, Gender, and Sexual Politics in the United States, 1945-1980",Philadelphia,PA,USA
Stephen Wise Free Synagogue Archives,Yale University Graduate School of Arts and Scienc,Rebecca Davis,2003,"For Better or for Worse: Marriage Counseling, Gender, and Sexual Politics in the United States, 1945-1980",New York,NY,USA
University of Chicago Special Collections Research Center,Yale University Graduate School of Arts and Scienc,Rebecca Davis,2003,"For Better or for Worse: Marriage Counseling, Gender, and Sexual Politics in the United States, 1945-1980",Chicago,IL,USA
University of Minnesota Social Welfare History Archives,Yale University Graduate School of Arts and Scienc,Rebecca Davis,2003,"For Better or for Worse: Marriage Counseling, Gender, and Sexual Politics in the United States, 1945-1980",Minneapolis,MN,USA
University of Notre Dame Archives,Yale University Graduate School of Arts and Scienc,Rebecca Davis,2003,"For Better or for Worse: Marriage Counseling, Gender, and Sexual Politics in the United States, 1945-1980",South Bend,IN,USA
University of Pennsylvania Archives,Yale University Graduate School of Arts and Scienc,Rebecca Davis,2003,"For Better or for Worse: Marriage Counseling, Gender, and Sexual Politics in the United States, 1945-1980",Philadelphia,PA,USA
Yeshiva University Library,Yale University Graduate School of Arts and Scienc,Rebecca Davis,2003,"For Better or for Worse: Marriage Counseling, Gender, and Sexual Politics in the United States, 1945-1980",New York,NY,USA
Alabama State Archives,"University of California, Los Angeles",Lester Feder,2003,Making Whiteness Sound: Country Music and the Racial Imagination in 20th Century America,Montgomery,AL,USA
"Center for American History, University of Texas","University of California, Los Angeles",Lester Feder,2003,Making Whiteness Sound: Country Music and the Racial Imagination in 20th Century America,Austin,TX,USA
"Country Music Hall of Fame and Museum, Nashville","University of California, Los Angeles",Lester Feder,2003,Making Whiteness Sound: Country Music and the Racial Imagination in 20th Century America,Nashville,TN,USA
Southeastern Louisiana University Regional History Center,"University of California, Los Angeles",Lester Feder,2003,Making Whiteness Sound: Country Music and the Racial Imagination in 20th Century America,Hammond,LA,USA
"Southern Folklife Center, UNC Chapel Hill","University of California, Los Angeles",Lester Feder,2003,Making Whiteness Sound: Country Music and the Racial Imagination in 20th Century America,Chapel Hill,NC,USA
Tulane University Library,"University of California, Los Angeles",Lester Feder,2003,Making Whiteness Sound: Country Music and the Racial Imagination in 20th Century America,New Orleans,LA,USA
Lowell Observatory archives,University of Texas at Austin,Maria Lane,2003,"Geographic Representations of the Planet Mars, 1867-1907",Flagstaff,AZ,USA
Imperial War Museum,Yale University,Helen Lennon,2003,Creating A Witness: Film as Evidence in International War Crimes Tribunals,London,,United Kingdom
Library of Congress,Yale University,Helen Lennon,2003,Creating A Witness: Film as Evidence in International War Crimes Tribunals,Washington,DC,USA
"Public Information Services office, Yugoslav Tribunal",Yale University,Helen Lennon,2003,Creating A Witness: Film as Evidence in International War Crimes Tribunals,The Hague,,Netherlands
Rwandan Tribunal,Yale University,Helen Lennon,2003,Creating A Witness: Film as Evidence in International War Crimes Tribunals,Arusha,,Tanzania
Bibliotheque Municipale de Dijon,Johns Hopkins University,Lisa Mahoney,2003,Re-presenting the Past: The Histoire ancienne jusqu'e Cesar in the Context of the Crusades,Dijon,,France
Bibliotheque Royale de Belgique,Johns Hopkins University,Lisa Mahoney,2003,Re-presenting the Past: The Histoire ancienne jusqu'? C?sar in the Context of the Crusades,Brussels,,Belgium
City Archive of the New Orleans Public Library,New York University,Jasmine Mir,2003,"Marketplace of Desire: Contested Space, Tourism, and Constructions of Sexual Deviance' in New Orleans, 1880-1920",New Orleans,LA,USA
Tulane University Library,New York University,Jasmine Mir,2003,"Marketplace of Desire: Contested Space, Tourism, and Constructions of Sexual Deviance' in New Orleans, 1880-1920",New Orleans,LA,USA
"Bibliotheque Centrale, Muséum national d'Histoire naturelle",University of California Los Angeles,William Nelson,2003,"'The Weapon of Time': Constructing the Future in France, 1760-1800",Paris,,France
Bibliotheque de l'Arsenal,University of California Los Angeles,William Nelson,2003,"'The Weapon of Time': Constructing the Future in France, 1760-1800",Paris,,France
Bibliotheque Historique de la Ville de Paris,University of California Los Angeles,William Nelson,2003,"'The Weapon of Time': Constructing the Future in France, 1760-1800",Paris,,France
Bibliotheque Nationale de France,University of California Los Angeles,William Nelson,2003,"'The Weapon of Time': Constructing the Future in France, 1760-1800",Paris,,France
Loeb Library,University of Chicago,Anthony Raynsford,2003,"Sites of Lost Dwelling: The Figure of the Archaic City in the Discourses of Urban Design, 1940-70",Cambridge,MA,USA
Massachusetts Institute of Technology Archives,University of Chicago,Anthony Raynsford,2003,"Sites of Lost Dwelling: The Figure of the Archaic City in the Discourses of Urban Design, 1940-70",Cambridge,MA,USA
Museum of Modern Art Archive,University of Chicago,Anthony Raynsford,2003,"Sites of Lost Dwelling: The Figure of the Archaic City in the Discourses of Urban Design, 1940-70",New York,NY,USA
National Archives of Belgium,Columbia University,Jun Hee (Jeun) Cho,2009,"Court in the Market: The Burgundian Capital(Mechelen) during the reign of Charles the Bold, 1467-77.",Brussels,,Belgium
Royal Danish Library,Maxwell School of Syracuse University,Martin Gutmann,2009,Fighting for the Nazi New Order: Neutral Elites in the Service of the German Waffen-SS,Copenhagen,,Denmark
"Archivo General de la Nación, Mexico","University of Massachusetts, Amherst",Robert Herr,2009,Puppets and Proselytizing: Politics and Nation-Building in Post-Revolutionary Mexico's Didactic Theater,Mexico City,,Mexico
Archivo Histórico de la Secretaría de Educación Pública de México,"University of Massachusetts, Amherst",Robert Herr,2009,Puppets and Proselytizing: Politics and Nation-Building in Post-Revolutionary Mexico's Didactic Theater,Mexico City,,Mexico
Biblioteca Nacional de M_xico,"University of Massachusetts, Amherst",Robert Herr,2009,Puppets and Proselytizing: Politics and Nation-Building in Post-Revolutionary Mexico's Didactic Theater,Mexico City,,Mexico
"Centro Nacional de Investigación, Documentación e Información de Artes Plásticas (CENIDIAP)","University of Massachusetts, Amherst",Robert Herr,2009,Puppets and Proselytizing: Politics and Nation-Building in Post-Revolutionary Mexico's Didactic Theater,Mexico City,,Mexico
Benaki Museum,University of Chicago,Kristine Hess,2009,Mount Sinai and the Monastery of Saint Catherine: Depicting 'Place' and 'Space' in Pilgrimage Art,Athens,,Greece
Byzantine and Christian Museum,University of Chicago,Kristine Hess,2009,Mount Sinai and the Monastery of Saint Catherine: Depicting 'Place' and 'Space' in Pilgrimage Art,Athens,,Greece
